module,operator,avg_us,pct,module_elapsed_us,avg_count,total_us,n_layers,kernel_names
comm_norm,comm: lamport_AR+RMSNorm,30.03,16.9,30.07,2.00,160663.5,5350,"void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)"
comm_norm,comm: allreduce/other,0.04,0.0,,0.00,211.3,5350,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>); ncclSymkDevKernel_AllReduce_RSxLDMC_AGxSTMC_sum_bf16(ncclSymkDevWorkArgs4K)
qkv_proj,qkv_proj: q_b_proj_GEMM,10.21,5.7,16.79,2.00,54626.5,5350,nvjet_sm100_tst_16x64_64x16_4x1_v_bz_TNN; nvjet_sm100_tst_24x64_64x16_4x1_v_bz_TNN
qkv_proj,qkv_proj: q/k_norm_RMSNorm,5.83,3.3,,2.00,31180.9,5350,"void flashinfer::norm::FusedAddRMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float); void flashinfer::norm::RMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)"
qkv_proj,qkv_proj: uk_gemm,4.29,2.4,,1.00,22929.7,5350,nvjet_sm100_tst_128x8_64x12_4x1_v_bz_TNT; nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT
rope_attn,rope_attn: Attention_FMHA,13.22,7.4,17.06,1.00,70720.5,5350,fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512PagedKvDenseP64MultiCtasKvVarSeqQ16Kv128StaticSwapsAbForGen
rope_attn,rope_attn: RoPE+KV_write,2.35,1.3,,1.00,12596.1,5350,"void flashinfer::RopeQuantizeKernel<true, 16u, 1u, __nv_bfloat16, long, __nv_fp8_e4m3>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, __nv_fp8_e4m3*, __nv_fp8_e4m3*, __nv_fp8_e4m3*, __nv_fp8_e4m3*, float*, long*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, float, float)"
rope_attn,rope_attn: set_mla_kv,1.50,0.8,,1.00,8034.9,5350,set_mla_kv_buffer_kernel
out_proj,out_proj/shared: FP4_GEMM,6.76,3.8,8.63,1.00,36190.7,5350,_ZN7cutlass13device_kernelIN10flashinfer4gemm58DeviceGemmFp4GemmSm100___nv_bfloat16_128_128_256_1_2_1_1SM12Sm10x11xOnlyINS_4gemm6kernel13GemmUniversalIN4cute5tupleIJiiiiEEENS5_10collective13CollectiveMmaINS5_46MainloopSm100TmaUmmaWarpSpecializedBlockScaledILi5ELi2ELi2ENS9_IJiiNS8_1CILi1EEEEEEEENS9_IJNSE_ILi128EEESI_NSE_ILi256EEEEEENS9_IJNS_12float_e2m1_tENS_13float_ue4m3_tEEEENS9_IJNS9_IJlSF_lEEENS8_6LayoutINS9_IJNS9_IJNS9_IJNSE_ILi32EEENSE_ILi4EEEEEEiEEENS9_IJNS9_IJNSE_ILi16EEESR_EEEiEEENS9_IJSF_iEEEEEENS9_IJSW_NS9_IJNS9_IJNSE_ILi0EEESF_EEENSE_ILi512EEEEEENS9_IJSZ_iEEEEEEEEEEESN_S16_NS8_8TiledMMAINS8_8MMA_AtomIJNS8_17SM100_MMA_MXF4_SSISL_SL_fSM_Li128ELi128ELi16ELNS8_4UMMA5MajorE0ELS1B_0ELNS1A_7ScaleInE0ELS1C_0EEEEEENSP_INS9_IJSF_SF_SF_EEENS9_IJSZ_SZ_SZ_EEEEENS9_IJNS8_10UnderscoreES1I_S1I_EEEEENS9_IJNS8_23SM90_TMA_LOAD_MULTICASTES1L_EEENS9_IJNS8_14ComposedLayoutINS8_7SwizzleILi3ELi4ELi3EEENS8_18smem_ptr_flag_bitsILi4EEENSP_INS9_IJNSE_ILi8EEESJ_EEENS9_IJSJ_SF_EEEEEEENSP_INS9_IJNS9_IJNS9_IJSS_SF_EEESV_EEESF_NS9_IJSF_SR_EEEEEENS9_IJNS9_IJNS9_IJSV_S11_EEES10_EEESZ_NS9_IJSR_S11_EEEEEEEEEEEvNS8_8identityES1M_S26_vS27_EENS_8epilogue10collective18CollectiveEpilogueINS29_23Sm100TmaWarpSpecializedILi4ELi2ELi32ELb0ELb1EEEJSK_NS9_IJNSP_ISI_SF_EENSP_ISQ_SF_EEEEEvSO_NS_10bfloat16_tESO_NS29_6fusion15FusionCallbacksIS2D_NS2I_17LinearCombinationIS2H_fvfLNS_15FloatRoundStyleE2EEESK_S2G_JEEENS8_5SM1004TMEM4LOAD26SM100_TMEM_LOAD_32dp32b32xENS8_13SM90_TMA_LOADENS1N_INS1O_ILi2ELi4ELi3EEENS1Q_ILi16EEENSP_INS9_IJS1S_SQ_EEENS9_IJSQ_SF_EEEEEEENS8_39AutoVectorizingCopyWithAssumedAlignmentILi128EEENS8_14SM90_TMA_STOREES2Y_S30_S30_EEENS5_19PersistentSchedulerEvEEEEEEvNT_6ParamsE; _ZN7cutlass13device_kernelIN10flashinfer4gemm58DeviceGemmFp4GemmSm100___nv_bfloat16_128_128_256_2_1_1_2SM12Sm10x11xOnlyINS_4gemm6kernel13GemmUniversalIN4cute5tupleIJiiiiEEENS5_10collective13CollectiveMmaINS5_46MainloopSm100TmaUmmaWarpSpecializedBlockScaledILi7ELi2ELi2ENS9_IJiiNS8_1CILi1EEEEEEEENS9_IJNSE_ILi256EEENSE_ILi128EEESI_EEENS9_IJNS_12float_e2m1_tENS_13float_ue4m3_tEEEENS9_IJNS9_IJlSF_lEEENS8_6LayoutINS9_IJNS9_IJNS9_IJNSE_ILi32EEENSE_ILi4EEEEEEiEEENS9_IJNS9_IJNSE_ILi16EEESR_EEEiEEENS9_IJSF_iEEEEEENS9_IJSW_NS9_IJNS9_IJNSE_ILi0EEESF_EEENSE_ILi512EEEEEENS9_IJSZ_iEEEEEEEEEEESN_S16_NS8_8TiledMMAINS8_8MMA_AtomIJNS8_23SM100_MMA_MXF4_2x1SM_SSISL_SL_fSM_Li256ELi128ELi16ELNS8_4UMMA5MajorE0ELS1B_0ELNS1A_7ScaleInE0ELS1C_0EEEEEENSP_INS9_IJSF_SF_SF_EEENS9_IJSZ_SZ_SZ_EEEEENS9_IJNS8_10UnderscoreES1I_S1I_EEEEENS9_IJNS8_28SM100_TMA_2SM_LOAD_MULTICASTES1L_EEENS9_IJNS8_14ComposedLayoutINS8_7SwizzleILi3ELi4ELi3EEENS8_18smem_ptr_flag_bitsILi4EEENSP_INS9_IJNSE_ILi8EEESI_EEENS9_IJSI_SF_EEEEEEENSP_INS9_IJNS9_IJNS9_IJSS_SF_EEESV_EEESF_NS9_IJSF_SR_EEEEEENS9_IJNS9_IJNS9_IJSV_S11_EEES10_EEESZ_NS9_IJSR_S11_EEEEEEEEEEEvNS8_8identityES1M_S26_vS27_EENS_8epilogue10collective18CollectiveEpilogueINS29_23Sm100TmaWarpSpecializedILi4ELi2ELi32ELb0ELb1EEEJNS9_IJSJ_SJ_SI_EEENS9_IJNSP_ISJ_SF_EENSP_ISQ_SF_EEEEEvSO_NS_10bfloat16_tESO_NS29_6fusion15FusionCallbacksIS2D_NS2J_17LinearCombinationIS2I_fvfLNS_15FloatRoundStyleE2EEES2E_S2H_JEEENS8_5SM1004TMEM4LOAD26SM100_TMEM_LOAD_32dp32b32xENS8_13SM90_TMA_LOADENS1N_INS1O_ILi2ELi4ELi3EEENS1Q_ILi16EEENSP_INS9_IJS1S_SQ_EEENS9_IJSQ_SF_EEEEEEENS8_39AutoVectorizingCopyWithAssumedAlignmentILi128EEENS8_14SM90_TMA_STOREES2Z_S31_S31_EEENS5_19PersistentSchedulerEvEEEEEEvNT_6ParamsE
out_proj,quant: FP4_convert,1.88,1.1,,1.00,10064.7,5350,"void cvt_fp16_to_fp4<__nv_bfloat16, false>(int, int, __nv_bfloat16 const*, float const*, unsigned int*, unsigned int*)"
